unique_ID,smiles,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,cosolvent,data_source,chembl_id,units,mol_hash
perrin22,CNO,"InChI=1S/CH5NO/c1-2-3/h2-3H,1H3",pKaH1,5.96,25,"C=0.0025, I=0.05 to 0.15","E3bg, R4",Approximate,B70,,,"methane, N-hydroxyamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,532c25a4
perrin23,CN(C)O,"InChI=1S/C2H7NO/c1-3(2)4/h4H,1-2H3",pKaH1,5.2,25,"C=0.0025, I=0.05 to 0.25","E3bg, R4",Approximate,B70,,,"methane, N-hydroxy-N-methylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,c318b06f
perrin24,CNOC,"InChI=1S/C2H7NO/c1-3-4-2/h3H,1-2H3",pKaH1,4.75,25,"C=0.0025, I=0.05 to 0.25","E3bg, R4",Approximate,B70,,,"methane, N-methoxyamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,394bcf6a
perrin25,CON(C)C,InChI=1S/C3H9NO/c1-4(2)5-3/h1-3H3,pKaH1,3.65,25,"C=0.0025, I=0.05 to 0.26","E3bg, R4",Approximate,B70,,,"methane, N-methoxyamino-N-methyl-",['manual_no_smiles'],1.0,,perrin,,AH,,,IUPAC_large,,,4e551894
perrin26,CNC,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",pKaH1,11.553,0,(c) I=0.05 to 0.20,E2b,Reliable,E38,Thermodynamic quantities are derived from the results," Other measurements: H16, M52, M56","methane, methylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,896554fe
perrin27,CNCC(=O)NC,"InChI=1S/C4H10N2O/c1-5-3-4(7)6-2/h5H,3H2,1-2H3,(H,6,7)",pKaH1,8.24,25,C=0.01,E3bg,Approximate,D10,,,"methane, C-methylamino-(N-methyl)carbamoyl-","['OPSIN_name1', 'manual_only_one']",2.0,,perrin,,AH,,,IUPAC_large,,,97e359d3
perrin28,CNC(C)=O,"InChI=1S/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)",pKaH2,-3.7,<25,,O6,Uncertain,G30,,,"methane, methylcarbamoyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,21a899b9
perrin29,CC(N)=S,"InChI=1S/C2H5NS/c1-2(3)4/h1H3,(H2,3,4)",pKaH1,-1.76,25,,O6,Uncertain,R34,,,"methane, thiocarbamoyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,room_temp.,,IUPAC_large,,,b4168240
perrin30,C[Si](C)(C)CN[Si](C)(C)C,"InChI=1S/C7H21NSi2/c1-9(2,3)7-8-10(4,5)6/h8H,7H2,1-6H3",pKaH1,11.4,25,I<0.004,E3ag,Approximate,S62,,,"methane, trimethylsilyl-N-trimethylsilylamino-",['manual_inconsistent'],1.0,,perrin,,AH,,,IUPAC_large,,,64415a52
perrin31,CN(C)P(=O)(N(C)C)N(C)C,"InChI=1S/C6H18N3OP/c1-7(2)11(10,8(3)4)9(5)6/h1-6H3",pKaH1,1.6,25,,E,,F8,,,Phosphoric trisdimethylamide,"['OPSIN_name1', 'manual_only_one']",2.0,,perrin,,AH,,,IUPAC_large,,,0aa0ae68
perrin32,C[N+](C)(C)[O-],"InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3",pKaH1,4.6,20,C=0.002 to 0.2,O4,Uncertain,S77,,,Trimethylamine N-oxide,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,e05b5b63
perrin33,CC(=O)NCCN,"InChI=1S/C4H10N2O/c1-4(7)6-3-2-5/h2-3,5H2,1H3,(H,6,7)",pKaH1,9.05,25,"I=0.1, ""mixed"" constant",E3dg,Approximate,M24,,,"ethane, 1-acetamido-2-amino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,2de9e855
perrin34,CCN(CC)CCC(C)=O,"InChI=1S/C8H17NO/c1-4-9(5-2)7-6-8(3)10/h4-7H2,1-3H3",pKaH1,9.04,20,"C=0.0025, as hydrochloride",E3bg,Uncertain,M14,,,"ethane, 1-acetyl-2-diethylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,86eeff00
perrin35,CC(=O)CCN(C)C,"InChI=1S/C6H13NO/c1-6(8)4-5-7(2)3/h4-5H2,1-3H3",pKaH1,8.37,20,"C=0.0025, as hydrochloride",E3bg,Uncertain,M14,,,"ethane, 1-acetyl-2-dimethylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,1499c874
perrin36,CCN,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",pKaH1,10.807,20,I=0.05 to 0.2,E2b,Reliable,E31,Thermodynamic quantities are derived from the results," Other measurements: A11, B135, C8, H16, M45, M52, R38","ethane, amino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,494d952a
perrin37,NCCOCCN,InChI=1S/C4H12N2O/c5-1-3-7-4-2-6/h1-6H2,pKaH1,10.2,10,I=0.002,E3bg,Approximate,L59,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-(2-amino)ethoxy-",['manual_no_smiles'],1.0,,perrin,,AH,,,IUPAC_large,,,210e805e
perrin38,NCCNCCN,"InChI=1S/C4H13N3/c5-1-3-7-4-2-6/h7H,1-6H2",pKaH3,4.01,10,I=0.002,E3bg,Uncertain,M5,Thermodynamic quantities are derived from the results, Other measurement: J15,"ethane, 1-amino-2-(2-aminoethyl)amino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,fe2aae9d
perrin39,NCCNC(=O)c1ccccc1,"InChI=1S/C9H12N2O/c10-6-7-11-9(12)8-4-2-1-3-5-8/h1-5H,6-7,10H2,(H,11,12)",pKaH1,9.13,25,C=0.01,E3dg,Approximate,H4,,,"ethane, 1-amino-2-benzamido-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,0b15bd69
perrin40,NCCNCc1ccccc1,"InChI=1S/C9H14N2/c10-6-7-11-8-9-4-2-1-3-5-9/h1-5,11H,6-8,10H2",pKaH1,9.41,25,"I=0.1 “mixed” constant. Ref standardized against buffers by E1ch, E3bg",E3bg,Approximate,F37,,,"ethane, 1-amino-2-benzylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,57231f4f
perrin41,NCCNCC(N)N,"InChI=1S/C4H14N4/c5-1-2-8-3-4(6)7/h4,8H,1-3,5-7H2",pKaH1,10.45,10,I=0.002,E3bg,Approximate,B60,Thermodynamic quantities are derived from the results,,"ethane, 1-amino-2-(2,2'-bisaminoethyl)amino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,a96b999c
perrin42,NCCBr,"InChI=1S/C2H6BrN/c3-1-2-4/h1-2,4H2",pKaH1,8.49,24,Neutral molecule cyclizes rapidly,E3ag,Uncertain,G19,," Other measurements: F34, F35","ethane, 1-amino-2-bromo-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,89c30da1
perrin43,CCCCNCCN,"InChI=1S/C6H16N2/c1-2-3-5-8-6-4-7/h8H,2-7H2,1H3",pKaH1,10.93,0,"I=0.65, ""mixed"" constant",E3bg,Approximate,B21,,,"ethane, 1-amino-2-butylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,8630caec
perrin44,CC(N)C(N)=O,"InChI=1S/C3H8N2O/c1-2(4)3(5)6/h2H,4H2,1H3,(H2,5,6)",pKaH1,8.02,,"I=0.2, “mixed” constant",E3bg,Uncertain,C19,,,"ethane, 1-amino-1-carbamoyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,e1ccbcb8
perrin45,N#CCCN,"InChI=1S/C3H6N2/c4-2-1-3-5/h1-2,4H2",pKaH1,7.7,29,I~0.03 to 0.05,E3bg,Uncertain,S60,,,"ethane, 1-amino-2-cyano-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,33c61fa2
perrin46,CCN(CC)CCN,"InChI=1S/C6H16N2/c1-3-8(4-2)6-5-7/h3-7H2,1-2H3",pKaH1,10.02,25,"I=0.25, ""mixed"" constant",E3bg,Approximate,I11,,,"ethane, 1-amino-2-diethylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,f12ba2bc
perrin47,CN(C)CCN,"InChI=1S/C4H12N2/c1-6(2)4-3-5/h3-5H2,1-2H3",pKaH1,9.53,25,"I=0.25, “mixed” constant",E3bg,Approximate,I11,,,"ethane, 1-amino-2-dimethylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,eb2da6ab
perrin48,CN(C)N=C(N)C(F)(F)F,"InChI=1S/C4H8F3N3/c1-10(2)9-3(8)4(5,6)7/h1-2H3,(H2,8,9)",pKb1,10.03,,,,Uncertain,B131,,,"ethane, 1-amino-1-dimethylhydrazono-2-trifluoro-","['chemaxon_name1', 'manual_only_one']",2.0,,perrin,,B,,,IUPAC_large,,,0614e35f
perrin49,NCCOCCSCCN,InChI=1S/C6H16N2OS/c7-1-3-9-4-6-10-5-2-8/h1-8H2,pKaH1,10.08,10,I=0.002,E3bg,Approximate,L59,Thermodynamic quantities are derived from the results,,"ethane, 1-(2-amino)ethoxy-2-(2-amino)ethylthio-",['manual_no_smiles'],1.0,,perrin,,AH,,,IUPAC_large,,,6c2953b0
perrin50,CCNCCN,"InChI=1S/C4H12N2/c1-2-6-4-3-5/h6H,2-5H2,1H3",pKaH1,11.11,0,"I=0.65, ""mixed"" constant",E3bg,Approximate,B21,,,"ethane, 1-amino-2-ethylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,7bafffe4
perrin51,NCCNCCNCC(N)CCN,"InChI=1S/C8H23N5/c9-2-1-8(11)7-13-6-5-12-4-3-10/h8,12-13H,1-7,9-11H2",pKaH1,9.92,25,,"E3bg, R3f",Approximate,J14,,,"ethane, 1-(2-aminoethyl)amino-2-[2-(2-aminoethyl)-aminoethyl]amino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,3b8f135e
perrin52,NCCNCc1ccco1,"InChI=1S/C7H12N2O/c8-3-4-9-6-7-2-1-5-10-7/h1-2,5,9H,3-4,6,8H2",pKaH1,9.72,20,"C=0.01, I=0.1 ""mixed"" constants",E3bg,Approximate,H58,,,"ethane, 1-amino-2-furfurylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,78cb3590
perrin53,NCCO,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2",pKaH1,9.51,25,"(c), I=0.015 f_H+ taken equal to f+/-(HCl)",E3bg,Approximate,D6,," Other measurements: B135, H5, S48, G23","ethane, 1-amino-2-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,c25bf8cd
perrin54,NCCNCCO,"InChI=1S/C4H12N2O/c5-1-2-6-3-4-7/h6-7H,1-5H2",pKaH1,9.82,25,"I=1.3, ""mixed"" constants","E3bh, R3f",Approximate,K9,,,"ethane, 1-amino-2-(2-hydroxyethyl)amino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,9d0c68e4
perrin55,CC(O)CNCCN,"InChI=1S/C5H14N2O/c1-5(8)4-7-3-2-6/h5,7-8H,2-4,6H2,1H3",pKaH1,9.86,25,"I=1.3, ""mixed"" constants","E3bh, R3f",Approximate,K9,,,"ethane, 1-amino-2-(2-hydroxypropyl)amino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,b4796160
perrin56,NCCNCCCO,"InChI=1S/C5H14N2O/c6-2-4-7-3-1-5-8/h7-8H,1-6H2",pKaH1,9.67,25,"I=1.3, ""mixed"" constants","E3bh, R3f",Approximate,K9,,,"ethane, 1-amino-2-(3-hydroxypropyl)amino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,ce4b9407
perrin57,CC(C)NCCN,"InChI=1S/C5H14N2/c1-5(2)7-4-3-6/h5,7H,3-4,6H2,1-2H3",pKaH1,11.15,0,"I=0.65, ""mixed"" constants",E3bg,Approximate,B21,,,"ethane, 1-amino-2-isopropylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,4e80f29c
perrin58,NCCS,"InChI=1S/C2H7NS/c3-1-2-4/h4H,1-3H2",pKaH1,8.35,25,"I=0.15, ""mixed"" constants",E3bg,Approximate,L41,,,"ethane, 1-amino-2-mercapto-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,3ae36bb1
perrin59,COCCN,"InChI=1S/C3H9NO/c1-5-3-2-4/h2-4H2,1H3",pKaH1,9.89,10,I=0.002,E3bg,Approximate,L59,Thermodynamic quantities are derived from the results,ther measurements: B135,"ethane, 1-amino-2-methoxy-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,fdc98fd5
perrin60,CNCCN,"InChI=1S/C3H10N2/c1-5-3-2-4/h5H,2-4H2,1H3",pKaH1,10.44,10,I=0.002,E3bg,Approximate,M5,Thermodynamic quantities are derived from the results, Other measurement: K9,"ethane, 1-amino-2-methylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,62922bc0
perrin61,Cc1ccc(CNCCN)cc1,"InChI=1S/C10H16N2/c1-9-2-4-10(5-3-9)8-12-7-6-11/h2-5,12H,6-8,11H2,1H3",pKaH1,9.41,25,"I=0.1, “mixed” constants. Ref standardized against buffers by E1ch",E3bg,Approximate,F37,,,"ethane, 1-amino-2-(p-methyl)benzylamino-",['manual_no_smiles'],1.0,,perrin,,AH,,,IUPAC_large,,,724296b0
perrin62,CSCCN,"InChI=1S/C3H9NS/c1-5-3-2-4/h2-4H2,1H3",pKaH1,9.8,10,I=0.002,E3bg,Approximate,M5,, Other measurement: G34,"ethane, 1-amino-2-methylthio-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,30e80192
perrin63,NCCNc1ccccc1,"InChI=1S/C8H12N2/c9-6-7-10-8-4-2-1-3-5-8/h1-5,10H,6-7,9H2",pKaH1,9.44,25,"I=0.1, “mixed” constants. Ref standardized against buffers by E1ch",E3bg,Approximate,F37,,,"ethane, 1-amino-2-phenylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,36da5251
perrin64,CCCNCCN,"InChI=1S/C5H14N2/c1-2-4-7-5-3-6/h7H,2-6H2,1H3",pKaH1,11.04,0,"I=0.65, “mixed” constants",E3bg,Approximate,B21,,,"ethane, 1-amino-2-propylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,3d4e5972
perrin65,NCC(Cl)(Cl)Cl,"InChI=1S/C2H4Cl3N/c3-2(4,5)1-6/h1,6H2",pKaH1,5.47,20,,,,N17,,,"ethane, 1-amino-2,2,2-trichloro-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,cc261f78
perrin66,NCC(F)(F)F,"InChI=1S/C2H4F3N/c3-2(4,5)1-6/h1,6H2",pKb1,8.3,not_stated,C=0.004,E3bg,Uncertain,H44,,,"ethane, 1-amino-2,2,2-trifluoro-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,B,,,IUPAC_large,,,ec563634
perrin67,C[Si](C)(C)CCN,"InChI=1S/C5H15NSi/c1-7(2,3)5-4-6/h4-6H2,1-3H3",pKaH1,10.97,25,I<0.005,E3ag,Approximate,S62,,,"ethane, 1-amino-2-trimethylsilyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,db4f8e06
perrin68,CCN(CC)CCC(=O)Cc1ccccc1,"InChI=1S/C14H21NO/c1-3-15(4-2)11-10-14(16)12-13-8-6-5-7-9-13/h5-9H,3-4,10-12H2,1-2H3",pKaH1,9.4,20,"C=0.0025, as hydrochloride",E3bg,Uncertain,M14,,,"ethane, 1-benzylcarbonyl-2-diethylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,542bf9c8
perrin69,CN(C)CCC(=O)Cc1ccccc1,"InChI=1S/C12H17NO/c1-13(2)9-8-12(14)10-11-6-4-3-5-7-11/h3-7H,8-10H2,1-2H3",pKaH1,8.3,20,"C=0.0025, as hydrochloride",E3bg,Uncertain,M14,,,"ethane, 1-benzylcarbonyl-2-dimethylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,616b78f7
perrin70,NCCOCCOCCN,InChI=1S/C6H16N2O2/c7-1-3-9-5-6-10-4-2-8/h1-8H2,pKaH1,10.14,10,I=0.002,E3bg,Approximate,L59,Thermodynamic quantities are derived from the results,,"ethane, 1,2-bis(2-amino)ethoxy-",['manual_no_smiles'],1.0,,perrin,,AH,,,IUPAC_large,,,a87c0ede
perrin71,NCCNCCNCCN,"InChI=1S/C6H18N4/c7-1-3-9-5-6-10-4-2-8/h9-10H,1-8H2",pKaH1,9.92,20,"I=0.1, ""mixed"" constants","E3bg, R3g",Approximate,S25,,,"ethane, 1,2-bis(2-aminoethyl)amino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,e5d309da
perrin72,NCCSCCSCCN,InChI=1S/C6H16N2S2/c7-1-3-9-5-6-10-4-2-8/h1-8H2,pKaH1,9.93,10,I=0.002,E3bg,Approximate,M5,Thermodynamic quantities are derived from the results, Other measurement: G34,"ethane, 1,2-bis(2-aminoethyl)thio-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,a21eeb5b
perrin73,CCN(CCCl)CCCl,"InChI=1S/C6H13Cl2N/c1-2-9(5-3-7)6-4-8/h2-6H2,1H3",pKaH1,6.78,0,I=0.0025,E3bg,Approximate,C42,,,"ethane, bis(2-chloroethyl)amino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,3accde76
perrin74,COCCN(CCCl)CCCl,"InChI=1S/C7H15Cl2NO/c1-11-7-6-10(4-2-8)5-3-9/h2-7H2,1H3",pKaH1,5.71,0,I=0.0015,E3bg,Approximate,C42,,,"ethane, 1-bis(2-chloroethyl)amino-2-methoxy-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,06348ac7
perrin75,NCCN(CCN)CCN(CCN)CCN,InChI=1S/C10H28N6/c11-1-5-15(6-2-12)9-10-16(7-3-13)8-4-14/h1-14H2,pKaH1,10.2,20,"I=0.1, ""mixed"" constants","E3bg, R3g",Approximate,S32,,,"ethane, 1,2-bis(di-2-aminoethylamino)-","['chemaxon_name1', 'manual_only_one']",2.0,,perrin,,AH,,,IUPAC_large,,,d420de0a
perrin76,CCCCNCCNCCCC,"InChI=1S/C10H24N2/c1-3-5-7-11-9-10-12-8-6-4-2/h11-12H,3-10H2,1-2H3",pKaH1,10.93,0,"I=0.65, ""mixed"" constant",E3bg,Approximate,B23,,,"ethane, 1,2-bisbutylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,f1ef2cdc
